url,fetched_at,title,meta_description,h1,og_title,og_description,og_image,twitter_title,twitter_description,canonical,robots,hreflang,images_alt_joined
https://www.manefa.ru/product/comb_your_alpaca_sweater,2025-10-04T12:29:34.521935+00:00,Щетка для пряжи с длинным ворсом: купить для расчесывания пушистой пряжи в интернет-магазине пряжи Манефа,"Купить щетку для мохера и альпаки с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа",Щётка PRYM для пушистой пряжи,,,,,,,,,
https://www.manefa.ru/product/glasgo-sweater-pattern,2025-10-04T12:29:27.427374+00:00,"Описание по вязанию свитера с втачным рукавом ""Глазго"" спицами",Купить понятное описание по вязанию спицами свитера с втачным рукавом из пряжи Knoll Yarns со схемой в интернет-магазине Манефа в Москве и Спб.,"Свитер ""Глазго"" из пряжи Supersoft Knoll Yarns",,,,,,,,,
https://www.manefa.ru/product/kardigan-vremena-goda-vesna,2025-10-04T12:29:31.938929+00:00,Описание по вязанию летнего топа по кругу снизу.,Купить понятное описание по вязанию летней кофточки спицами по кругу снизу.,"Кардиган ""Времена года. Весна""",,,,,,,,,
https://www.manefa.ru/product/kryuchok-raku-raku-2-v-1,2025-10-04T12:29:31.133220+00:00,Японский двусторонний крючок: купить крючок  Raku-Raku 2 в 1 с эргономичной ручкой для вязания в интернет-магазине пряжи Манефа,"Купить японский крючок Haamanaka Raku-Raku 2 в 1 с удобной эргономической ручкой с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа",Крючок RAKU-RAKU 2 в 1,,,,,,,,,
https://www.manefa.ru/product/magazine-novita-new-nordic,2025-10-04T12:29:27.068048+00:00,Журнал по вязанию спицами Novita New Nordic: купить пряжу в интернет-магазине пряжи Манефа,"Купить журнал по вязанию спицами со схемами Novita New Nordic с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа",Журнал NOVITA New Nordic (8 моделей),,,,,,,,,
https://www.manefa.ru/product/nabor-bulavok-dlya-petel-knit-pro,2025-10-04T12:29:33.996405+00:00,Булавки для снятия петель: купить в интернет-магазине пряжи Манефа,"Купить набор больших булавок для снятия петель с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа",Набор булавок для петель Knit Pro,,,,,,,,,
https://www.manefa.ru/product/nabor-igl-hamanaka-3-shtuki-pryamye,2025-10-04T12:29:32.843355+00:00,Иглы для трикотажа Hamanaka: купить инструменты для вязания спицами и крючком в интернет-магазине пряжи Манефа,"Купить тупые иглы для сшивания трикотажа и инструменты для вязания спицами и крючком Hamanaka с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа",Набор игл Hamanaka 3 штуки (прямые),,,,,,,,,
https://www.manefa.ru/product/nabor-kryuchkov-raku-raku-2-v-1-5-shtuk,2025-10-04T12:29:31.187535+00:00,Набор японских крючков Raku-Raku 2 в 1 с эргономической ручкой для вязания можно купить с доставкой в интернет-магазине пряжи Манефа,"Набор японских крючков Raku-Raku 2 в 1 с эргономической ручкой для вязания можно купить с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа",Набор крючков RAKU-RAKU 2 в 1 (5 штук),,,,,,,,,
https://www.manefa.ru/product/nabor-markerov-petel-hamanaka,2025-10-04T12:29:33.361896+00:00,Маркеры петель Hamanaka: купить инструменты для вязания спицами и крючком в интернет-магазине пряжи Манефа,"Купить маркеры петель и инструменты для вязания спицами и крючком Hamanaka с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа",Набор маркеров петель HAMANAKA,,,,,,,,,
https://www.manefa.ru/product/nabor-tub-dlya-spits-knit-pro,2025-10-04T12:29:33.954042+00:00,Тубы для спиц: купить в интернет-магазине пряжи Манефа,"Купить набор туб для сохранности спиц с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа",Набор туб для спиц Knit Pro,,,,,,,,,
https://www.manefa.ru/product/needles-mindful-cable-swivel,2025-10-04T12:29:30.699669+00:00,Леска для спиц Mindful Knit Pro: купить металлические съемные спицы в интернет-магазине пряжи Манефа,"Купить поворотную леску-тросик для съемных спиц Mindful Knit Pro  с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа","Тросик MINDFUL поворотный ""без памяти""",,,,,,,,,
https://www.manefa.ru/product/needles-mindful-cable-teal,2025-10-04T12:29:31.321400+00:00,Леска для спиц Mindful Knit Pro: купить металлические съемные спицы в интернет-магазине пряжи Манефа,"Купить леску-тросик для съемных спиц Mindful Knit Pro  с доставкой по Москве, Петербургу и России в интернет-магазине пряжи Манефа","Тросик MINDFUL ""без памяти""",,,,,,,,,
